,score_home,score_away,spread_favorite,spread_covered,over_under_line,over_under_result,home_team_fav,home_win%,home_team_ppg,home_team_oppg,home_p_diff,away_win%,away_team_ppg,away_team_oppg,away_p_diff,home_win_exp,away_win_exp
773,38,17,-8.5,1,39.5,1,1,0.6,23.8,23.2,0.6,0.5,17.25,28.25,-11.0,0.537,0.056
774,13,35,-3.5,1,37.0,1,0,0.6,23.0,22.4,0.6,0.5,23.0,15.0,8.0,0.538,0.912
775,36,0,-10.0,1,46.0,0,1,0.5,25.0,21.0,4.0,0.2,19.4,27.8,-8.4,0.731,0.111
776,17,45,-3.0,1,42.0,1,0,0.16699999999999998,16.17,29.17,-13.0,0.33299999999999996,17.83,25.17,-7.34,0.033,0.125
777,24,7,-3.0,1,38.0,0,1,0.5,19.0,17.17,1.83,0.5,21.33,24.5,-3.17,0.633,0.311
778,17,37,0.0,0,37.5,1,0,1.0,20.2,13.6,6.6,0.667,26.17,22.17,4.0,0.89,0.724
779,34,26,-1.0,0,36.0,1,0,0.2,15.4,21.2,-5.8,0.6,21.6,18.4,3.2,0.151,0.708
780,20,26,-3.5,0,41.0,1,1,0.5,15.33,15.83,-0.5,0.0,17.8,29.8,-12.0,0.459,0.048
781,7,38,-3.0,1,39.0,1,0,0.2,18.8,24.4,-5.6,0.8,22.4,18.6,3.8,0.187,0.738
782,14,19,-3.5,1,38.0,0,0,0.4,17.2,30.2,-13.0,0.2,15.0,16.0,-1.0,0.037,0.418
783,13,19,-6.5,0,37.0,0,1,0.8,21.0,11.6,9.4,0.667,21.0,18.83,2.17,0.957,0.646
784,28,20,-4.0,1,44.0,1,1,1.0,30.2,16.8,13.4,0.833,26.33,14.5,11.83,0.967,0.965
785,10,14,-3.0,0,37.0,0,1,0.4,19.0,21.8,-2.8,0.4,16.2,21.8,-5.6,0.318,0.165
786,24,7,-5.0,0,39.0,0,0,0.33299999999999996,22.5,19.83,2.67,0.6,25.4,14.6,10.8,0.67,0.955
787,24,17,-11.0,0,41.5,0,1,0.8,24.4,17.4,7.0,0.2,16.0,30.4,-14.4,0.869,0.024
788,34,24,-4.0,1,48.5,1,1,0.6,27.2,16.8,10.4,0.5,29.33,22.0,7.33,0.939,0.845
789,10,17,-4.5,1,47.5,0,0,0.33299999999999996,19.17,24.0,-4.83,1.0,31.83,19.17,12.66,0.219,0.952
790,16,13,-7.0,0,41.0,0,0,0.16699999999999998,13.67,30.0,-16.33,0.429,22.71,18.0,4.71,0.012,0.785
791,26,6,-2.5,1,36.5,0,1,0.5,22.33,21.0,1.33,0.7140000000000001,25.43,16.43,9.0,0.586,0.92
792,24,16,-3.0,1,37.5,1,1,0.16699999999999998,16.17,29.33,-13.16,0.16699999999999998,16.83,26.67,-9.84,0.032,0.069
793,27,24,-3.0,0,41.5,1,0,0.33299999999999996,18.5,22.0,-3.5,0.833,24.33,17.33,7.0,0.276,0.87
794,30,21,-13.0,0,44.0,1,1,0.833,29.67,17.5,12.17,0.33299999999999996,16.67,28.33,-11.66,0.955,0.046
795,17,30,-4.5,1,43.5,1,0,0.16699999999999998,18.33,25.67,-7.34,0.7140000000000001,27.71,21.43,6.28,0.129,0.818
796,38,5,-5.5,1,43.5,0,1,1.0,29.71,17.86,11.85,0.5710000000000001,19.71,15.71,4.0,0.95,0.771
797,17,29,-5.5,0,44.5,1,1,1.0,29.83,17.33,12.5,0.33299999999999996,17.5,20.5,-3.0,0.958,0.297
798,9,3,-4.5,1,37.5,0,1,0.7140000000000001,20.71,18.0,2.71,0.429,16.0,17.29,-1.29,0.683,0.399
799,20,23,-3.0,0,39.5,1,1,0.429,21.71,24.0,-2.29,0.833,19.67,17.5,2.17,0.36,0.653
800,24,17,-3.0,1,36.0,1,1,0.5,15.83,19.83,-4.0,0.33299999999999996,15.67,15.67,0.0,0.23,0.5
801,21,33,-1.0,0,45.5,1,1,0.33299999999999996,18.5,24.33,-5.83,0.667,28.33,18.0,10.33,0.176,0.931
802,16,0,-6.0,1,37.0,0,1,0.5,22.33,16.17,6.16,0.833,25.0,16.67,8.33,0.854,0.906
803,10,26,-6.5,1,38.5,0,0,0.16699999999999998,19.17,28.17,-9.0,0.667,19.67,12.83,6.84,0.097,0.903
804,17,14,-3.0,0,39.0,0,0,0.28600000000000003,14.0,27.57,-13.57,0.429,19.71,22.29,-2.58,0.022,0.334
